Date,Close,High,Low,Open,Volume,SMA_20,SMA_50,EMA_20,Returns,Volatility
2025-02-19,96635.609375,96855.59375,95011.96875,95532.53125,28990872862,97482.75625,98940.56765625,97560.88962079391,0.011472343504350446,0.017304838809016777
2025-02-20,98333.9375,98767.1953125,96442.671875,96632.6796875,31668022771,97279.201953125,99018.85125,97634.51322833735,0.017574558032842136,0.017370271937259357
2025-02-21,96125.546875,99497.96875,94852.9609375,98340.671875,49608706470,97052.683984375,99003.6246875,97490.80214706712,-0.02245807176184722,0.017657155618028594
2025-02-22,96577.7578125,96950.15625,95765.34375,96134.203125,18353824477,96997.123046875,98973.03125,97403.84554377501,0.0047043783073406065,0.016488777319368122
2025-02-23,96273.921875,96671.875,95270.453125,96577.8046875,16999478976,96740.548046875,98933.78515625,97296.23376579644,-0.0031460239332733453,0.013778285055830716
2025-02-24,91418.171875,96503.453125,91371.7421875,96277.9609375,44046480529,96417.865625,98795.849375,96736.41834762535,-0.05043681513571874,0.01597104575279912
2025-02-25,88736.171875,92511.078125,86008.234375,91437.1171875,92139104128,96023.901953125,98529.01109375,95974.49011213722,-0.029337712021491935,0.016890366827568032
2025-02-26,84347.0234375,89286.25,82131.8984375,88638.890625,64597492134,95411.58828125,98277.4975,94867.11233360034,-0.04946290046952739,0.019656707795101248
2025-02-27,84704.2265625,87000.78125,83144.9609375,84076.859375,52659591954,94820.3453125,98070.7115625,93899.2184506384,0.004234922709094535,0.019764398345454407
2025-02-28,84373.0078125,85036.3203125,78248.9140625,84705.625,83610570576,94214.873046875,97908.4909375,92991.96029462521,-0.003910297790814532,0.01972591479682843
2025-03-01,86031.9140625,86522.3046875,83794.234375,84373.8671875,29190628396,93691.4640625,97735.10015625,92329.09874870852,0.019661575342751147,0.02053715926779172
2025-03-02,94248.3515625,95043.4375,85040.2109375,86036.2578125,58398341092,93532.00390625,97728.7353125,92511.88473097437,0.09550452979612856,0.030452523418080683
2025-03-03,86065.671875,94429.75,85081.3046875,94248.421875,70072228536,93047.916015625,97560.28,91897.95969707206,-0.08682040111941614,0.035868339197428656
2025-03-04,87222.1953125,88911.2734375,81529.2421875,86064.0703125,68095241474,92514.7328125,97414.3934375,91452.6488033033,0.013437685575495406,0.035569280841231905
2025-03-05,90623.5625,90998.2421875,86379.7734375,87222.953125,50498988027,92214.717578125,97296.18375,91373.68820298869,0.03899657851208138,0.03684438188124145
2025-03-06,89961.7265625,92804.9375,87852.140625,90622.359375,47749810486,91837.35546875,97085.3284375,91239.21566579929,-0.007303133084179958,0.036752647492599606
2025-03-07,86742.671875,91191.046875,84717.6796875,89963.28125,65945677657,91295.471484375,96825.04375,90810.97340000888,-0.0357824911826653,0.037438242898501575
2025-03-08,86154.59375,86847.265625,85247.484375,86742.65625,18206118081,90794.449609375,96458.89484375,90367.5086714366,-0.006779571257010009,0.03737843959555889
2025-03-09,80601.0390625,86471.1328125,80052.484375,86154.3046875,30899345977,90035.832421875,95982.75421875,89437.36870868073,-0.0644603432710168,0.03968311375873187
2025-03-10,78532.0,83955.9296875,77420.59375,80597.1484375,54061099422,89185.455078125,95531.60203125,88398.76216499685,-0.02567012890361897,0.03985641502456714
2025-03-11,82862.2109375,83577.7578125,76624.25,78523.875,54702837196,88496.78515625,95148.51296875,87871.47157190192,0.05513944554449135,0.04216600764368759
2025-03-12,83722.359375,84358.578125,80635.25,82857.375,40353484454,87766.20625,94700.03484375,87476.31802933983,0.010380466895202334,0.041977254102471225
2025-03-13,81066.703125,84301.6953125,79931.8515625,83724.921875,31412940153,87013.2640625,94248.3075,86865.8785146408,-0.0317197970748182,0.04220519142856717
2025-03-14,83969.1015625,85263.2890625,80797.5625,81066.9921875,29588112414,86382.83125,93848.48609375,86589.99499538931,0.03580259620308812,0.04324393040755659
2025-03-15,84343.109375,84672.671875,83639.59375,83968.40625,13650491277,85786.290625,93438.95859375,86376.00588868555,0.004454112352525463,0.043304453769256644
2025-03-16,82579.6875,85051.6015625,82017.90625,84333.3203125,21330270174,85344.36640625,92996.259375,86014.45175642979,-0.020907717157540473,0.04218801521004386
2025-03-17,84075.6875,84725.328125,82492.15625,82576.3359375,25092785558,85111.3421875,92624.123125,85829.8075415317,0.018115835083536647,0.04203558556966973
2025-03-18,82718.5,84075.71875,81179.9921875,84075.71875,24095774594,85029.916015625,92236.739375,85533.4925375763,-0.016142449028442418,0.04068808727533185
2025-03-19,86854.2265625,87021.1875,82569.7265625,82718.8046875,34931960257,85137.416015625,91947.174375,85659.27673042617,0.049997601050550955,0.04220828611609726
2025-03-20,84167.1953125,87443.265625,83647.1953125,86872.953125,29028988961,85127.125390625,91556.4540625,85517.17373824272,-0.030937253791171848,0.04283877154726937
2025-03-21,84043.2421875,84782.2734375,83171.0703125,84164.5390625,19030452299,85027.691796875,91142.6128125,85376.79930483866,-0.0014727011460912154,0.04260771921414874
2025-03-22,83832.484375,84513.875,83674.78125,84046.2578125,9863214091,84506.8984375,90771.16203125,85229.72169247307,-0.0025077306278807887,0.036155617488599044
2025-03-23,86054.375,86094.78125,83794.9140625,83831.8984375,12594615537,84506.33359375,90479.13140625,85308.26010271374,0.026503933905394295,0.031238056363888943
2025-03-24,87498.9140625,88758.7265625,85541.1953125,86070.9296875,34582604933,84520.16953125,90275.33015625,85516.89381316958,0.016786352378946434,0.03132015860125078
